what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1393582023361
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1393582025116
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1393582025125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582027133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582030939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393582035801
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393582036880
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1393582039329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582050547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582053442
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1393582070474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582074860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582077548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582081730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582083163
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1393582084926
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1393582086616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582086749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582089021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582091947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582093235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393582096039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393582097882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582099583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582100740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582101674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582115562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393582116289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582116970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582120527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393582121226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582121861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582137476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393582142934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582143356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582145235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582145739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582161796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393582166071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582166547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582167969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582168800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582176673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393582180775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582181245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582182693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582183558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582259249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1393582260358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393582260998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582261611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582262415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393582263192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638466594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638471484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638516907
error,log,,,"No command output when running: 'am start -n COM.TQC.GDD01/COM.TQC.GDD01.GDD01 -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1393638527015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638576535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638596452
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1393638596487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638602567
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1393638606974
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393638607352
closed,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1393638607454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638607637
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1393638607649
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1393638611004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638633087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638634509
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393638634666
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1393638635340
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1393638635347
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1393638635349
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1393638635353
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1393638635353
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1393638635357
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1393638635360
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1393638635360
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,21.1.0.v201302060044-569685,"overlay.com.android.ide.eclipse.adt.overlay",1393638635362
stopped,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1393638635364
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1393638635369
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1393638635372
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1393638635377
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1393638635377
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1393638635381
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1393638635386
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1393638635390
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1393638635395
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1393638635398
