what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1395057300414
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1395057300414
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1395057300414
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1395057300414
started,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1395057300414
started,bundle,com.android.ide.eclipse.base,21.1.0.v201302060044-569685,"com.android.ide.eclipse.base",1395057300429
started,bundle,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms",1395057300429
os,sysinfo,,,"win32",1395057300429
arch,sysinfo,,,"x86_64",1395057300429
ws,sysinfo,,,"win32",1395057300429
locale,sysinfo,,,"zh_TW",1395057300429
processors,sysinfo,,,"2",1395057300429
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1395057300429
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1395057300429
java.specification.name,sysinfo,,,"Java Platform API Specification",1395057300429
java.specification.vendor,sysinfo,,,"Oracle Corporation",1395057300429
java.specification.version,sysinfo,,,"1.7",1395057300429
java.vendor,sysinfo,,,"Oracle Corporation",1395057300429
java.version,sysinfo,,,"1.7.0_17",1395057300429
java.vm.info,sysinfo,,,"mixed mode",1395057300429
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1395057300429
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395057300429
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1395057300429
java.vm.specification.version,sysinfo,,,"1.7",1395057300429
java.vm.vendor,sysinfo,,,"Oracle Corporation",1395057300429
java.vm.version,sysinfo,,,"23.7-b01",1395057300429
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1395057300570
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1395057300835
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1395057300866
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1395057300882
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1395057300882
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1395057301038
