what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1393561645742
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1393561645744
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1393561645745
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1393561645749
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1393561645750
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1393561645751
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1393561645753
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1393561645754
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1393561645756
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1393561645757
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1393561645758
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1393561645758
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1393561645760
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1393561645761
started,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1393561645762
started,bundle,com.android.ide.eclipse.base,21.1.0.v201302060044-569685,"com.android.ide.eclipse.base",1393561645763
started,bundle,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms",1393561645764
os,sysinfo,,,"win32",1393561645770
arch,sysinfo,,,"x86_64",1393561645770
ws,sysinfo,,,"win32",1393561645770
locale,sysinfo,,,"zh_TW",1393561645770
processors,sysinfo,,,"2",1393561645770
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1393561645770
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1393561645770
java.specification.name,sysinfo,,,"Java Platform API Specification",1393561645770
java.specification.vendor,sysinfo,,,"Oracle Corporation",1393561645770
java.specification.version,sysinfo,,,"1.7",1393561645770
java.vendor,sysinfo,,,"Oracle Corporation",1393561645770
java.version,sysinfo,,,"1.7.0_17",1393561645770
java.vm.info,sysinfo,,,"mixed mode",1393561645770
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1393561645770
